"mode"	"variant"	"file"	"scope_kib"	"input_bytes"	"archive_bytes"	"ratio"	"bpb"	"encode_seconds"	"decode_seconds"	"peak_ram_mib"	"roundtrip"	"codec_sha256"
"donor-match"	"r2-donor-match"	"dickens"	"32"	"32768"	"12951"	"0.395233154296875"	"3.161865234375"	"18.4315397"	"18.2996451"	"129.6953125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"donor-match"	"r2-donor-match"	"mozilla"	"32"	"32768"	"10890"	"0.33233642578125"	"2.65869140625"	"19.2909982"	"19.1055711"	"129.54296875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"donor-match"	"r2-donor-match"	"mr"	"32"	"32768"	"8474"	"0.25860595703125"	"2.06884765625"	"19.2799269"	"19.6255215"	"129.7890625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"donor-match"	"r2-donor-match"	"nci"	"32"	"32768"	"4879"	"0.148895263671875"	"1.191162109375"	"19.8319769"	"19.725173"	"129.52734375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"donor-match"	"r2-donor-match"	"ooffice"	"32"	"32768"	"13659"	"0.416839599609375"	"3.334716796875"	"19.8191117"	"19.6201625"	"129.6875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"donor-match"	"r2-donor-match"	"osdb"	"32"	"32768"	"15142"	"0.46209716796875"	"3.69677734375"	"19.6689051"	"19.9956096"	"129.88671875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"donor-match"	"r2-donor-match"	"reymont"	"32"	"32768"	"9361"	"0.285675048828125"	"2.285400390625"	"19.0246097"	"18.9256854"	"129.55078125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"donor-match"	"r2-donor-match"	"samba"	"32"	"32768"	"11173"	"0.340972900390625"	"2.727783203125"	"19.1361107"	"18.042439"	"129.890625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"donor-match"	"r2-donor-match"	"sao"	"32"	"32768"	"23756"	"0.7249755859375"	"5.7998046875"	"18.1971924"	"18.475131"	"129.89453125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"donor-match"	"r2-donor-match"	"webster"	"32"	"32768"	"12539"	"0.382659912109375"	"3.061279296875"	"18.2470178"	"18.4127149"	"129.42578125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"donor-match"	"r2-donor-match"	"x-ray"	"32"	"32768"	"19389"	"0.591705322265625"	"4.733642578125"	"18.548227"	"18.2637971"	"129.90234375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"donor-match"	"r2-donor-match"	"xml"	"32"	"32768"	"5016"	"0.153076171875"	"1.224609375"	"18.0507176"	"18.221578"	"129.53125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-zstd"	"r2-bwt-zstd"	"dickens"	"32"	"32768"	"14061"	"0.429107666015625"	"3.432861328125"	"0.0733589"	"0.0593388"	"4.5859375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-zstd"	"r2-bwt-zstd"	"mozilla"	"32"	"32768"	"12081"	"0.368682861328125"	"2.949462890625"	"0.0711639"	"0.0498229"	"4.66796875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-zstd"	"r2-bwt-zstd"	"mr"	"32"	"32768"	"7934"	"0.24212646484375"	"1.93701171875"	"0.0653"	"0.0504716"	"4.65234375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-zstd"	"r2-bwt-zstd"	"nci"	"32"	"32768"	"2775"	"0.084686279296875"	"0.677490234375"	"0.0683146"	"0.0520391"	"4.63671875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-zstd"	"r2-bwt-zstd"	"ooffice"	"32"	"32768"	"15371"	"0.469085693359375"	"3.752685546875"	"0.0807379"	"0.0655816"	"4.71875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-zstd"	"r2-bwt-zstd"	"osdb"	"32"	"32768"	"17505"	"0.534210205078125"	"4.273681640625"	"0.0709375"	"0.0493509"	"4.57421875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-zstd"	"r2-bwt-zstd"	"reymont"	"32"	"32768"	"9556"	"0.2916259765625"	"2.3330078125"	"0.0581463"	"0.0512214"	"4.71875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-zstd"	"r2-bwt-zstd"	"samba"	"32"	"32768"	"12113"	"0.369659423828125"	"2.957275390625"	"0.0590007"	"0.048765"	"4.6015625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-zstd"	"r2-bwt-zstd"	"sao"	"32"	"32768"	"24720"	"0.75439453125"	"6.03515625"	"0.0568455"	"0.0478995"	"4.72265625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-zstd"	"r2-bwt-zstd"	"webster"	"32"	"32768"	"13874"	"0.42340087890625"	"3.38720703125"	"0.056629"	"0.0462092"	"3"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-zstd"	"r2-bwt-zstd"	"x-ray"	"32"	"32768"	"20054"	"0.61199951171875"	"4.89599609375"	"0.0597731"	"0.0465958"	"4.76171875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-zstd"	"r2-bwt-zstd"	"xml"	"32"	"32768"	"3024"	"0.09228515625"	"0.73828125"	"0.0685284"	"0.0519061"	"4.69140625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-mtf-zstd"	"r2-bwt-mtf-zstd"	"dickens"	"32"	"32768"	"13057"	"0.398468017578125"	"3.187744140625"	"0.0647499"	"0.0433381"	"4.609375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-mtf-zstd"	"r2-bwt-mtf-zstd"	"mozilla"	"32"	"32768"	"11408"	"0.34814453125"	"2.78515625"	"0.058024"	"0.0506088"	"4.65625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-mtf-zstd"	"r2-bwt-mtf-zstd"	"mr"	"32"	"32768"	"7586"	"0.23150634765625"	"1.85205078125"	"0.0541769"	"0.051625"	"4.59375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-mtf-zstd"	"r2-bwt-mtf-zstd"	"nci"	"32"	"32768"	"2721"	"0.083038330078125"	"0.664306640625"	"0.0545515"	"0.0519234"	"4.578125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-mtf-zstd"	"r2-bwt-mtf-zstd"	"ooffice"	"32"	"32768"	"14605"	"0.445709228515625"	"3.565673828125"	"0.0642909"	"0.0819821"	"4.6796875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-mtf-zstd"	"r2-bwt-mtf-zstd"	"osdb"	"32"	"32768"	"17562"	"0.53594970703125"	"4.28759765625"	"0.0683198"	"0.0656448"	"2.00390625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-mtf-zstd"	"r2-bwt-mtf-zstd"	"reymont"	"32"	"32768"	"8700"	"0.2655029296875"	"2.1240234375"	"0.0686249"	"0.0499487"	"4.60546875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"bwt-mtf-zstd"	"r2-bwt-mtf-zstd"	"samba"	"32"	"32768"	"11163"	"0.340667724609375"	"2.725341796875"	"0.0569459"	"0.047869"	"4.578125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
